"id","academic_year_id/id","amenities_ids","class_id/id","display","faculty_id/id","create_uid/id","create_date","division_id/id","write_uid/id","write_date","actual_strength","class_room/id","section_id/id"
"__export__.education_class_division_47","__export__.education_academic_year_4_bba79d68","","__export__.education_class_3_710c85ee","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_48","__export__.education_academic_year_4_bba79d68","","__export__.education_class_3_710c85ee","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section3"
"__export__.education_class_division_49","__export__.education_academic_year_4_bba79d68","","__export__.education_class_4_0614aa18","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_50","__export__.education_academic_year_4_bba79d68","","__export__.education_class_4_0614aa18","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_51","__export__.education_academic_year_4_bba79d68","","__export__.education_class_5_3d299d3a","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_52","__export__.education_academic_year_4_bba79d68","","__export__.education_class_5_3d299d3a","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_53","__export__.education_academic_year_4_bba79d68","","__export__.education_class_6_83de9d6c","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_54","__export__.education_academic_year_4_bba79d68","","__export__.education_class_6_83de9d6c","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_55","__export__.education_academic_year_4_bba79d68","","__export__.education_class_7_18380dde","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_56","__export__.education_academic_year_4_bba79d68","","__export__.education_class_7_18380dde","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_57","__export__.education_academic_year_4_bba79d68","","__export__.education_class_8_6ebe08db","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_58","__export__.education_academic_year_4_bba79d68","","__export__.education_class_8_6ebe08db","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_81_d92d760f","__export__.education_academic_year_4_bba79d68","","__export__.education_class_9_b36d5076","Positron","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_83_59ab38a9","__export__.education_academic_year_4_bba79d68","","__export__.education_class_9_b36d5076","Proton","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
